model,market_suffix,prob_bin_label,prob_bin_mid,num_bets,actual_win_rate_pct,avg_pred_prob,wins_in_bin,cumulative_bets_onwards,cumulative_wins_onwards,cumulative_wr_onwards
gradient_boosting__without_odds,prob_O25_and_BTTS_N,[0.15-0.20),0.17500000000000002,2179,16.888480954566315,0.17076026026098196,368.0,3983,798.0,20.035149384885763
gradient_boosting__without_odds,prob_O25_and_BTTS_N,[0.20-0.25),0.225,1007,22.542204568023834,0.22185042943213779,227.0,1804,430.0,23.835920177383592
gradient_boosting__without_odds,prob_O25_and_BTTS_N,[0.25-0.30),0.275,473,22.621564482029598,0.27170898357489665,107.0,797,203.0,25.47051442910916
gradient_boosting__without_odds,prob_O25_and_BTTS_N,[0.30-0.35),0.32500000000000007,209,29.1866028708134,0.3217310648357838,61.0,324,96.0,29.629629629629626
gradient_boosting__without_odds,prob_O25_and_BTTS_N,[0.35-0.40),0.375,82,28.04878048780488,0.36937953954307806,23.0,115,35.0,30.434782608695656
gradient_boosting__without_odds,prob_O25_and_BTTS_N,[0.40-0.45),0.42500000000000004,33,36.36363636363637,0.4181100615685341,12.0,33,12.0,36.36363636363637
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.15-0.20),0.17500000000000002,86,32.55813953488372,0.18576661197131045,28.0,109492,44262.0,40.42487122346839
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.20-0.25),0.225,384,42.1875,0.23115125542061676,162.0,109406,44234.0,40.431054969562915
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.25-0.30),0.275,1492,39.41018766756032,0.2798823016817966,588.0,109022,44072.0,40.42486837519033
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.30-0.35),0.32500000000000007,5123,39.976576224868246,0.33015388309477395,2048.0,107530,43484.0,40.438947270529155
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.35-0.40),0.375,14401,39.900006943962225,0.37871849435956706,5746.0,102407,41436.0,40.46207778765123
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.40-0.45),0.42500000000000004,65799,40.10243316767732,0.42588939888699884,26387.0,88006,35690.0,40.55405313274095
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.45-0.50),0.475,18899,41.96518334303402,0.4683489843504198,7931.0,22207,9303.0,41.89219615436574
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.50-0.55),0.525,2568,41.1993769470405,0.5177714697668802,1058.0,3308,1372.0,41.47521160822249
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.55-0.60),0.5750000000000001,555,44.14414414414414,0.5695841602534721,245.0,740,314.0,42.432432432432435
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.60-0.65),0.625,130,35.38461538461539,0.6209530079062145,46.0,185,69.0,37.2972972972973
gradient_boosting__without_odds,prob_O25_and_BTTS_Y,[0.65-0.70),0.675,55,41.81818181818181,0.6689780209815492,23.0,55,23.0,41.81818181818181
gradient_boosting__without_odds,prob_O35,[0.05-0.10),0.07500000000000001,59,16.94915254237288,0.08666399759741462,10.0,109504,32905.0,30.049130625365283
