model,market_suffix,prob_bin_label,prob_bin_mid,num_bets,actual_win_rate_pct,avg_pred_prob
poisson_pca_without_odds,prob_O25,[0.55-0.60),0.5750000000000001,17220,58.838559814169564,0.5720182207913042
poisson_pca_without_odds,prob_O25,[0.60-0.65),0.625,7567,62.12501651909608,0.6217297166903317
poisson_pca_without_odds,prob_O25,[0.65-0.70),0.675,3113,67.23417924831352,0.6715181043560495
poisson_pca_without_odds,prob_O25,[0.70-0.75),0.7250000000000001,1094,66.54478976234005,0.721179724376634
poisson_pca_without_odds,prob_O25,[0.75-0.80),0.775,431,71.46171693735499,0.7707716218273024
poisson_pca_without_odds,prob_O25,[0.80-0.85),0.8250000000000001,171,76.60818713450293,0.8206296774262122
poisson_pca_without_odds,prob_O25,[0.85-0.90),0.875,24,79.16666666666666,0.8678290468618949
poisson_pca_without_odds,prob_U25,[0.10-0.15),0.125,24,20.833333333333336,0.13217095313810506
poisson_pca_without_odds,prob_U25,[0.15-0.20),0.17500000000000002,171,23.391812865497073,0.17937032257378777
poisson_pca_without_odds,prob_U25,[0.20-0.25),0.225,431,28.538283062645007,0.22922837817269764
poisson_pca_without_odds,prob_U25,[0.25-0.30),0.275,1094,33.45521023765997,0.2788202756233659
poisson_pca_without_odds,prob_U25,[0.30-0.35),0.32500000000000007,3113,32.765820751686476,0.3284818956439504
poisson_pca_without_odds,prob_U25,[0.35-0.40),0.375,7567,37.87498348090392,0.3782702833096684
poisson_pca_without_odds,prob_U25,[0.40-0.45),0.42500000000000004,17220,41.16144018583043,0.4279817792086959
poisson_pca_without_odds,prob_U25,[0.45-0.50),0.475,36258,47.644657730707706,0.477127981642181
poisson_pca_without_odds,prob_U25,[0.50-0.55),0.525,29312,52.55185589519651,0.523056565802069
poisson_pca_without_odds,prob_U25,[0.55-0.60),0.5750000000000001,11902,57.2256763569148,0.569797716841408
poisson_pca_without_odds,prob_U25,[0.60-0.65),0.625,2426,60.18136850783182,0.6174707955518107
poisson_pca_without_odds,prob_U25,[0.65-0.70),0.675,229,65.50218340611353,0.6643952406823243
poisson_pca_without_odds,prob_O35,[0.10-0.15),0.125,97,13.402061855670103,0.14044206299017636
poisson_pca_without_odds,prob_O35,[0.15-0.20),0.17500000000000002,2909,18.906840838776212,0.18488453021288637
poisson_pca_without_odds,prob_O35,[0.20-0.25),0.225,18854,22.557547470032883,0.2304593651289586
poisson_pca_without_odds,prob_O35,[0.25-0.30),0.275,36459,27.669436901725224,0.2751818190602027
poisson_pca_without_odds,prob_O35,[0.30-0.35),0.32500000000000007,31645,32.036656659819876,0.31812413358650277
poisson_pca_without_odds,prob_O35,[0.35-0.40),0.375,11545,37.089649198787356,0.37134145244752703
poisson_pca_without_odds,prob_O35,[0.40-0.45),0.42500000000000004,4792,41.798831385642735,0.4212908507729123
poisson_pca_without_odds,prob_O35,[0.45-0.50),0.475,2030,45.566502463054185,0.4709857741151223
poisson_pca_without_odds,prob_O35,[0.50-0.55),0.525,777,46.074646074646076,0.5219336283201133
poisson_pca_without_odds,prob_O35,[0.55-0.60),0.5750000000000001,362,48.06629834254144,0.5713752277420652
poisson_pca_without_odds,prob_O35,[0.60-0.65),0.625,165,48.484848484848484,0.623566725338194
poisson_pca_without_odds,prob_O35,[0.65-0.70),0.675,75,58.666666666666664,0.6718408408074248
poisson_pca_without_odds,prob_O35,[0.70-0.75),0.7250000000000001,37,59.45945945945946,0.7217768182384654
poisson_pca_without_odds,prob_U35,[0.25-0.30),0.275,37,40.54054054054054,0.27822318176153477
poisson_pca_without_odds,prob_U35,[0.30-0.35),0.32500000000000007,75,41.333333333333336,0.3281591591925753
poisson_pca_without_odds,prob_U35,[0.35-0.40),0.375,165,51.515151515151516,0.3764332746618059
poisson_pca_without_odds,prob_U35,[0.40-0.45),0.42500000000000004,362,51.93370165745856,0.42862477225793477
poisson_pca_without_odds,prob_U35,[0.45-0.50),0.475,777,53.925353925353924,0.4780663716798867
poisson_pca_without_odds,prob_U35,[0.50-0.55),0.525,2030,54.43349753694581,0.5290142258848777
